主体,年代
Bowl_with_auspicious_emblems_(one_of_a_pair),second half 18th century
Cypress_Tree,dated 1935
Bramble-leaf_Rose,dated 1931
"Draft_of_""Such_is_the_Beauty_of_Our_Rivers_and_Mountains""",datable to 1959
"Baoshi_Hill_in_the_Ancient_Style,_No._1",2018
To_Li_Shuyi:_Poetic_Thoughts_of_Mao_Zedong,dated 1958
Bowl_with_auspicious_emblems_(one_of_a_pair),second half 18th century
Lady_with_flower,1947
Pine_Cliff_and_Waterfall,dated 1964
Sounding_Stone,20th century
Lotus,dated 1935
Orchids_and_bamboo,dated 1742
"The_Qianlong_Emperor's_Southern_Inspection_Tour,_Scroll_Six:_Entering_Suzhou_along_the_Grand_Canal",dated 1770
Eagle_on_a_pine_tree,mid-20th century
My_Left_Hand:_Me_(Memories),2000
Rock_and_tree,undated
Preface_to_the_Orchid_Pavilion_Gathering,dated 1964
Gentlewomen,dated 1882
Family_Tree,2001
The_Twelve_Dragon_Guests,未知年代
Vegetable_#3,2015
Autumn_Mountains,未知年代
My_Left_Hand_(Mao),2000
Ten_Thousand_Valleys_in_Deep_Shade,dated 1933
Zhong_Kui_Carrying_a_Sword,Datable to 1979
"""High_Spirit_in_Old_Age""_(Zhuangmu)",Dated 1985
Old_Pine_Shrouded_in_Clouds,dated 1922
"""Seal_of_Xie_Zhiliu""_(Xie_Zhiliu_yin)",Dated 1976
Response_to_Mi_Fu's_Poem_Written_in_a_Boat_on_the_Wu_River,2013
Letter_to_Nancun,未知年代
The_Poetic_Mood_of_Su_Shi,dated 1962
Junks,dated 1945
Buddha_Maitreya_(Mile),dated 486 (10th year of Taihe reign)
Stately_Pines_on_Mount_Hua,early 1970s
Man_on_a_Bridge,dated 1889
Four_Seasons:_Autumn,2001–2003
Mushrooms,dated 1965
Four_Seasons:_Summer,2001–2003
Untitled,2009
Four_Seasons:_Winter,2001–2003
Letter_to_Yao_Zhi,未知年代
I_am_Chairman_Mao's_Red_Guard,2000
Amphora_with_dragon-shaped_handles,7th century
Lotus,dated 1946
"They_No._7,_Three_Sisters",2000
Four_Seasons:_Spring,2001–2003
Vase_in_Shape_of_Ancient_Bronze_Vessel,15th–16th century
Seventeen_Letters,dated 1938–48
Poem,1744
"""Eighty-eight-year-old_Gentleman""_(Bashiba_Weng)",Dated 1997
"""Xie_Zhiliu""",Dated 1993
"""Spirited_Old_Man""_(Zhuangmu_Weng)",Dated 1995
The_Immortal_Liu_Haichan_Playing_with_a_Toad,dated 1937
Jietai_Temple,dated 1978
Draft_poem_for_seeing_off_Lin_Jun_(1452–1527),未知年代
"""Hall_of_a_Spirited_Old_Man""_(Zhuangmu_Tang)",Dated 1978
"""Hall_of_Fish_Drinking_from_a_Brook""_(Yuyinxi_Tang)",Dated 1972
Flowers,early 1940s
Winter_Journey_in_the_North,未知年代
Discourse_on_Poetry,1698
Narcissus,mid-13th century
Portrait_of_the_wife_of_Yizhai,datable to 1561 or 1620
Peach_Blossoms_and_Peony,ca. 1860
The_Classic_of_Filial_Piety,ca. 1085
Flower_and_Bird,dated 1878
Night-blooming_Cereus,dated 1940
Welcoming_spring,15th century
Narcissus,dated 1935
Orchid_and_Rock,20th century
Pillow_with_boy_on_hobbyhorse,12th–13th century
Poem_on_retirement,未知年代
Cloudy_Mountains,20th century
Snake_Catching_A_Frog,20th century
Par_nirvana_(death_and_transcendence_of_the_Buddha)_and_attendant_arhats,dated 1503
Sitting_on_the_Wall:_Haikou_V,2001
Various_Subjects,dated 1978
Quatrain_by_Meng_Haoran,ca. 1260–64
Cabbage,未知年代
Letter,未知年代
Insects_and_Flowers,dated 1948
Playing_weiqi_in_a_waterside_pavilion,mid-1940s
Fish,17th century
"""Lao_ru_linmu_qi_guo_si""",Dated 1983
Letter,未知年代
Snow_over_the_Waterside_Village,1988
Poem_in_Cursive_Script,17th century
Rain_on_Laurel_Blossoms,未知年代
Ten_Kings_of_Hell,before 1195
"""Bronze_and_Stone_Inscriptions,_Calligraphy,_and_Painting_Authenticated_at_the_Hall_of_a_Spirited_Old_Man""_(Zhuangmu_Tang_jianding_jinshi_shuhua)",Dated 1984
Letter_to_Xu_Shangde,未知年代
Calligraphy_after_ancient_masters,ca. 1595 and 1600
Digital_No._02HP01–03,2002
After_Three_Rubbings,dated 1680
Letter,未知年代
Yang_Guifei_with_a_Parrot,dated 1946
Knickknack_peddler,13th–15th century
Portrait_of_a_man_in_court_robes_with_fur_surcoat,late 18th–early 19th century
Flowering_Plant,20th century
Chrysanthemums,20th century
"""Spirited_Old_Man""_(Zhuangmu_Weng)",Dated 1982
Bird_on_a_Branch,20th century
Peonies_and_Butterflies,20th century
Flower_Studies,20th century
Birds,1940s
Liu_Chen_and_Ruan_Zhao_Entering_the_Tiantai_Mountains,未知年代
Flowers_and_Fruits,dated 1914
Giraffe_with_Two_Keepers,未知年代
Mei_Cheng_Sitting_Alone,未知年代
Cockatoo,dated 1721
Ten_Kings_of_Hell,before 1195
Landscape_with_fisherman,1643
Calligraphy,未知年代
River_Landscape,未知年代
Landscape_with_solitary_figure,1660s
Tibetan_Dancer,20th century
Fighting_Yaks,dated 1947
Bodhisattva_Manjushri_(Wenshu),late 10th–early 12th century
Long_Scroll,2001
Peony,early 20th century
Rustic_Scene,1982
Cosmological_Mandala_with_Mount_Meru,14th century
Calligraphy_in_the_Style_of_Stone_Drums,20th century
Streams_and_Mountains_in_Autumn_Mist,1634
Pines_and_Rock,dated 1634
The_Lotus_Sutra,ca. 1315
Regular-script_Calligraphic_Couplet,未知年代
Poem_Written_in_a_Boat_on_the_Wu_River,ca. 1095
Reminiscing_about_the_River,1988
Carnations_and_amaranthus,未知年代
Birds'_Feet,20th century
Poetry_Manuscript,20th century
Bird_on_a_Branch,20th century
Bird_on_a_Branch,20th century
Birds_and_Human_Figure,1940s
Duck,20th century
Narcissus,20th century
Goose,20th century
"Peonies,_Asters,_and_Rock",20th century
Ducks_and_Blossoming_Branches,20th century
Illustration_of_Su_Shi’s_“Second_Rhapsody_on_Red_Cliff”,dated 1628
Landscape_in_the_style_of_Huang_Gongwang,dated 1657
Poem_in_Seven-syllable_Meter,未知年代
Poem_to_Xu_Qianzhi,未知年代
Five_Poems,未知年代
Landscape,未知年代
Branch_of_Blossoming_Plum,未知年代
Poem_in_Seven-Syllable_Meter,未知年代
Letter_to_Li_Ziyuan,未知年代
Figure_standing_in_a_grove_of_trees,1613
Zhuangmu,20th century
Chrysanthemums_and_Rock,20th century
Zhuangmu_Tang,1978
Xie,20th century
Panliu_Yangguan,1972
Zhiliu,1975
Zhuangmu_Tang,1991
Zhuangmu_Xie,1997
Xie,1981
Zhiliu,1987
Xie,20th century
Xie_Zhiliu,1986
Xie_Zhiliu,1976
Zhiliu_Changshou,20th century
Zhuangmu,1987
Zhuangmu_Tang,1996
Yannian,20th century
Xie_Zhi_Siyin,20th century
Jiujiuweng,1990
Zhuangmu_Zhai,1973/1977
"""Xie_Zhi""",Dated 1977
Zhiliu,1977
Xie_Zhiliu,1947
Zhuangmu_Tang_Zhiliu,1980
Xie,20th century
Xie_Zhiliu,1991
Zhuangmu_Tang_Ji,1979
Letter_to_Liang_Zhongren,未知年代
Zhuangmu_Weng,20th century
Female_Immortals,dated 1909
Woo-She-Shan,1876
Record_of_the_Commemorative_Tablet_by_Imperial_Manufacture_of_the_Great_Buddha_Temple_of_Longxing_at_Zhengding,未知年代
Pine_Longevity,1950
Hisiu_Peak,ca. 1869
Lotus,ca. 1980
Lychee,1948
Silent_fisherman_in_an_autumn_wood,dated 1475
Landscape_after_a_poem_by_Wang_Wei,1323
Spring_Clouds_at_the_Pine_Studio,dated 1366
Ten_Kings_of_Hell,before 1195
Lotus,20th century
Poems_for_Dong_Qichang,未知年代
Scholar_and_Pine,dated 1947
Vimalakirti_and_the_Doctrine_of_Nonduality,dated 1308
Essay_for_Liu_Jingzhong,未知年代
Excerpt_from_Xie_Huilian’s__Prose_Poem_“On_Snow”,未知年代
Recluse_washing_his_feet_in_a_stream,dated 1629
Dwellings_of_the_Immortals_Amid_Streams_and_Mountains,dated 1531
Landscapes_and_poems,1636
Sketches_of_Twelve_Strange_Mountain_Peaks,ca. 1935
Dark_(Heaven)_and_Yellow_(Earth),2005
Traveling_through_Snow-Covered_Mountains,未知年代
Landscape,未知年代
Dream_I,undated
"Bodhidharma_and_Luohans,_after_Liang_Kai's_""Eight_Eminent_Monks""",20th century
Landscape,未知年代
Quatrain_on_yellow_roses,early 13th century
Eagle,未知年代
Misty_Dawn_Over_the_Qiantang_River,1983
Chronology_of_Four_Yuan_Masters,20th century
Bird_on_a_Branch,20th century
Bird_on_a_Branch,20th century
"""Xie_Zhiliu"";_""Spirited_Old_Man""_(Zhuangmu_Weng)",Dated 1994
"""Seal_of_Zhiliu""_(Zhiliu_zhi_xi);_""Spirited_Old_Man""_(Zhuangmu_Weng)""",Dated 1996
Bird_Chattering_on_a_Blossoming_Peach,Datable to 1947
"""Xie,_Zhiliu""",Dated 1981
Vegetables_and_Fruits,20th century
Michelia,20th century
Notes_on_Paintings_and_Excerpts_from_Books,20th century
"Notes_on_Tang,_Song_and_Yüan_Paintings_and_Calligraphies",ca. 1949
"Chrysanthemums,_Butterflies,_and_Rocks",20th century
Hosta_and_Asters,20th century
Bird_on_a_Branch,20th century
"Bodhidharma_and_Luohans,_after_Liang_Kai's_""Eight_Eminent_Monks""",20th century
Studies_of_a_Bird,20th century
Court_Lady_and_Dancer,1940s
"Pomegranate,_Daylily,_and_Poem,_after_Yun_Shouping",20th century
"Lychees,_Longyan,_and_Peaches,_after_Yun_Shouping",20th century
"Flowering_Branch_and_Poem,_after_Yun_Shouping",20th century
"Bodhidharma_and_Luohans,_after_Liang_Kai's_""Eight_Eminent_Monks""",20th century
Song_of_the_Stone_Drums,dated 1301
Seal,20th century
Abstraction_Number_7,1988
Poem,undated
Couplet,dated 1867
Traveling_Amid_Streams_and_Mountains,1680
Blossoming_plum,dated 1759
Poem_on_a_Riverside_Pavilion,dated 1641
Water_Buffaloes,dated 1639
Radishes_and_Mustard_Greens,ca. 1965
Poem_Composed_on_Tiger_Hill_on_Mankind's_Day,未知年代
Vegetables,ca. 1965
a:_Xie_Zhiliu;_b:_Zhuangmu_Weng,1987
a)_Zhiliu_Zhiyin;__b)_Zhuangmu,1975
a)_Zhiliu;_b)_Zhuangmu_Tang_Xie,1980
Iron_Model_for_Artificial_Rock_#10,late 20th century
Letter_to_Chen_Jiru_(1558-1635),未知年代
Flowering_Peach_and_Rock,20th century
a)_Zhi_liu;_b)_Zhuangmu,1988
a)_Xie_Zhiliu;__b)_Zhuangmu,1977
a)_Xie_Zhi;_b)_Zhiliu,1975
a)_Xie;_b)_Zhuangmu,1990
a)_Xie_Zhiliu;_b)_Zhuangmu,1980
a)_Zhiliu;_b)_Yuyin,1976
Chui_Nang_opposite_Kien-yang_city,ca. 1869
Plum_in_snow,未知年代
Fake_Cover_1:_Newsweek,1995
Merry_Gatherings_in_the_Magic_Jar,未知年代
Miscellaneous_Writings_on_Zhang_Xu,late 1960s
Paper_Med_No.18,2020
Poems_of_Inner_Mongolia,Datable to 1961
Four_Poems_from_a_Trip_to_Xinjiang,Datable to 1991
Poem_on_Climbing_Mt._Tai,Datable to 1988
Five_Poems,Datable to 1990
Shitao_Chronology_and_Excerpts_from_Miscellaneous_Books,20th century
Various_Vegetables,20th century
Landscape_in_the_Style_of_Liang_Kai,Dated 1980
Scholar_admiring_plum_blossoms,13th century
Piled_Stone_Mountain_Near_Sing_Chang,ca. 1869
Temple_of_Tai-wang_at_Wu_ü_near_Sing_Chang_Tea_Mart,ca. 1869
"The_Grand_Stand,_Foochow_(Fuzhou)",ca. 1869
Left_Road_up_to_Yuen_foo_Monastery,ca. 1869
"""Baoshi""",1930s
"""1965""",dated 1965
Landscape_after_Huang_Gongwang,dated 1677
"""Fu""",dated 1965
Erxian,19th century
"Table_of_Contents_of_""Xiyun_Yumubian""",20th century
"""Collective_Creativity""",dated 1955
Spring_Morning_in_the_Mountains,未知年代
Victory_in_Sight,1945
Windblown_bamboo,ca. 1460
Scholar-recluse_in_blue-green_landscape,1633
Seated_Buddha,Datable to 1942–43
Yellow_Mountain,dated 1961
Poem_by_Huang_Tingjian,undated
Landscape,Datable to the 1930s
Fragment_of_a_Manuscript,未知年代
Boats,datable to the 1930s (?)
Chrysanthemums_by_a_rock,18th century
Leaf_Studies,ca. 1930s
Irises,ca. 1930s
Leaf_Studies,ca. 1930s
Landscape,Datable to the 1930s
Riverscape,Datable to the 1930s
Bamboo,ca. 1930s
Freesia,ca. 1930s
Boats,Datable to the 1930s
Rhododendrons,ca. 1930s
Landscape_of_the_four_seasons_in_the_styles_of_old_masters,1635
Par_nirvana_(death_and_transcendence_of_the_Buddha)_and_attendant_arhats,dated 1503
Par_nirvana_(death_and_transcendence_of_the_Buddha)_and_attendant_arhats,dated 1503
Par_nirvana_(death_and_transcendence_of_the_Buddha)_and_attendant_arhats,dated 1503
Par_nirvana_(death_and_transcendence_of_the_Buddha)_and_attendant_arhats,dated 1503
Hawk_with_notes,20th century
Par_nirvana_(death_and_transcendence_of_the_Buddha)_and_attendant_arhats,dated 1503
Calligraphy,未知年代
The_True_Story_of_Ah_Q,1980
Calligraphy,未知年代
Calligraphy,未知年代
Calligraphy,未知年代
Calligraphy,未知年代
Bamboo,未知年代
Calligraphy,未知年代
"Singing,_from_the_series_Highland_Barley",1961
Flowers,未知年代
Landscape,未知年代
"Barley,_from_the_series_Highland_Barley",1962
Flowers,未知年代
Landscape,未知年代
Landscape,未知年代
Landscape,未知年代
Socialist_Realist_Landscape-_New_China,未知年代
"Woman_in_a_garden,_in_the_style_of_Qian_Du_(ca._1764–1844)",1921
Scholar_in_Landscape,未知年代
"Bird_Study_with_Narcissus_and_Rock,_after_Chen_Hongshou",Datable to 1949
Inkstone_“Moon_and_Cloud”,2009
Solitary_traveler_in_the_mountains,ca. 1945
Rocky_Landscape_with_Pines,before 1346
Poem_by_Wang_Wei,after 1632
Zhou_Dunyi_Admiring_Lotuses,dated 1896
Autumn_landscape,1929
Gathering_at_the_Orchid_Pavilion,1560
Plum_blossoms,1927
Drenched_in_Moonlight,18th century
Enjoying_the_Pines,未知年代
Drinking_and_Composing_Poetry,dated 1485
Drunk_in_Autumn_Woods,ca. 1702
Mantises_Fighting_on_Bamboo,20th century
Plum_Blossoms,dated 1950
Poem_Written_in_Seal_Script,dated 1975
Poems_on_painting_plum_blossoms_and_bamboo,dated 1260
The_Sixteen_Luohans,dated 1667
Crabapple_Blossoms,dated 1965
Scholar's_Tools,dated 1947
Cormorants,dated 1980
Eight_Poems_on_Stone_Lake,1527
The_Immortal_Li_Tieguai,未知年代
Goddess_Crossing_the_Xiang_River,undated
Ten_Kings_of_Hell,before 1195
Wangchuan_Villa,dated 1711
Ten_Kings_of_Hell,before 1195
Lotus,undated
Planting_Chrysanthemums,16th century
Landscape,undated
Tiger_Calligraphy,dated 1890
Three_Poems_by_Lu_You_and_Du_Fu_in_Cursive_Script,datable to 1959
Coming_Through_the_Gorges,1986
Flowering_Plum_in_Moonlight_and_Snow,16th century
Whiling_Away_the_Summer_at_the_Ink-Well_Thatched_Hut,1679
Mr._Hong_Please_Come_In,1998
Portrait_of_the_imperial_guard_Zhanyinbao,dated 1760
30_Letters_to_Qiu_Jiawa,2009
Calligraphy,未知年代
Travel_on_the_Silk_Road,early 20th century
Min-ch'oi_Temple_&_City_Wall_of_Yen-ping,ca. 1869
Poem_on_the_Double_Ninth_ｆestival,16th century
The_Pond-Bamboo_Dwelling,dated 1958
Two_Poems,dated 1942
"Passage_from_Tao_Qian's_""Returning_Home""",未知年代
Canon,1991
Landscape_after_Ni_Zan,dated 1651
The_Colors_of_Mount_Taihang,dated 1669
"Peonies,_Rock_and_Butterfly",20th century
Clearing_after_Rain_over_Streams_and_Mountains,dated 1662
Flowers_in_Rain_through_the_Four_Stages_of_Meditation,1866
The_Lingshouhua_Studio,1863
Dwelling_in_the_Mountains,Dated 1979
"Lotus_and_Rock,_after_Chen_Hongshou",Datable to 1937
Wrist_rest_decorated_with_bamboo,1929
Prose_Poem_on_Fishing,dated 1507
Presenting_the_Tripod,1803
Recluse_gazing_at_a_waterfall,1559
"""Seal_of_Mao_Zedong""",dated 1959
“The_Yisi_Year_[1965]”,dated 1965
Wind_among_the_Trees_on_the_Riverbank,1363
"""Southern_Stone_Studio""",dated 1959
Beauty_under_a_Banana_Palm,dated 1945
“Baoshi_[Embracing_Stones]_Studio”,1940s
Whispering_Rain_at_Dusk,dated 1945
"""Child_Involved_in_Creative_Transformations""",dated 1934
"""Painting_by_Baoshi""",dated 1962
"""Private_Seal_of_Baoshi""",1930s
"""Mission_to_Renew""",dated 1940
"""A_Changed_World""",dated 1964
"""1954;__Obsessed_with_Seals""",dated 1954
Landscape_for_Zhanting,dated 1710
Five_poems,ca. 1700
Two_eagles,dated 1702
Poem_to_the_Tune_of_“The_Rain-Soaked_Bell”,2007
Wrist_rest_decorated_with_an_ear_of_corn_and_snail,1925
Rhapsody_on_the_Epang_Palace,1527
Two_Poems_in_Five-character_Regulated_Verse,未知年代
Flowering_Calamus_and_Frogs,1950
After_a_Long_Summer_Rain,未知年代
The_Great_Victory_of_Qurman,1760
Calligraphy,未知年代
Poem,未知年代
Landscape_with_towers_and_pavilions,1829
Mountain_Vegetables,dated 1965
Poem,未知年代
Four_anecdotes_from_the_life_of_Wang_Xizhi,1310s
Flower,20th century
Goose,1940s
Flowers,Undated
Bird,20th century
Fishing_Boats,20th century
The_Front,20th century
Wooded_Mountains_at_Dusk,dated 1666
Boating_on_a_Winter_Lake,1959
Flying_Celestial_(Apsara)_with_Musical_Instrument,Datable to 1942–43
On_Zhang_Xu,dated 1982
Heads,Datable to 1942–43
"Hands,_Feet,_and_Heads",Datable to 1942–43
Riverscapes,Datable to the 1930s
"West_Lake,_Hangzhou:_Little_Isle_of_the_Immortals",20th century
Lady_with_an_Elephant_and_Guardian_with_a_Horse,Datable to 1942–43
Architecture_and_Irises,ca. 1930s
Studies_for_a_Self-Portrait,Datable to the 1930s
Landscape,Datable to the 1930s
"Bird_on_a_Branch_of_Blossoming_Plum,_after_Chen_Hongshou",Datable to the 1930s
Zen,1974
"West_Lake,_Hangzhou:_Little_Isle_of_the_Immortals",Datable to the 1930s
"West_Lake,_Hangzhou:_Little_Isle_of_the_Immortals",Datable to the 1930s
"In_the_Pine_Courtyard,_Leisurely_Feelings",未知年代
In_the_Tiantai_Mountains,1987
Landscape,未知年代
Flowers,未知年代
River_Hamlet,12th–13th century
Return_Journey,1981(?)
Calendar_Poster_with_a_Lady,1930
Calligraphy,未知年代
Happiness,1981
Fishing_in_River_Country_at_Blossom_Time,dated 1709
Woodcutter_at_the_Floating_Mountain,未知年代
The_Vimalakirti_Sutra,"dated January 13, 1119"
Rubbings_and_flowers,未知年代
Lotus,dated 1965
Swallows,未知年代
Plum_blossoms,未知年代
Two_Paintings_of_Deer_Antlers,dated 1762 and 1767
Weighing_Books,early 16th century
Portrait_of_Li_Xiangjun,dated 1817
Landscape,dated 1699
Woman_by_a_window_beneath_a_wutong_tree,dated 1923
Old_plum,20th century
Wintry_mountains,ca. 1679–89
Branch_of_blossoming_plum,dated 1945
Fisherman,ca. 1350
Various_Subjects,dated 1959
Sketches_of_Shatian,20th century
Invitation_to_Reclusion_at_Jingxi,1611
Red_Orchid,1950
Poetic_Maxim,dated 1691
Landscape_with_Figures,Dated 1726
"After_Wang_Xizhi's_""Preface_to_the_Orchid_Pavilion_Gathering_Collection""",ca. 1694–96
"A_Portion_of_the_Citywall,_Foochow",ca. 1869
Bankers_Glen_Yuen_Foo_Monastery,ca. 1869
Lotus_Leaves_and_Water_Reeds,未知年代
Landscape,dated 1649
Couplet_in_Seven-character_Meter,未知年代
Spring_Dawn_over_the_Elixir_Terrace,ca. 1369
"""Gazing_at_the_Waterfall_on_Mt._Lu""_by_Li_Bo_(701-761)",未知年代
The_Strange_Pines_of_Mount_Tiantai,1687
Landscape,未知年代
Landscape,未知年代
Girl_Arranging_Flowers,未知年代
Landscape,未知年代
"Pine,_Plum_and_Yellow_Stone",未知年代
Untitled,1999
Magnolia_and_Mynahs,未知年代
"Listening_to_the_Waterfall_from_a_Moored_Boat,_in_the_manner_of_Wen_Zhengming",1837
Mountain_Landscape,dated 1651
Stool,ca. 2007
Table_with_Two_Legs,2004
New_Classic_of_Mountains_and_Seas_I,2008
Snowscape,未知年代
Landscape,1807
Farewell_Poem,dated 1498
Landscape_inspired_by_Yun_Shouping_studying_Huang_Gongwang,1931
Dream,1986
Early_Spring,1979
Chatting_over_Tea,1984
Old_Vines_above_Ancient_Wall,1987
Phantom_Landscapes_III,2007
"East_Lake,_Shaoxing",1990 (?)
Phantom_Landscapes_III,2007
Village_People,Jul-84
Sun_Rising_in_the_Eastern_Sky,1984
Mount_Huang_Series_No._5,1991
Country_Sentiments,1983
Bamboo_Raft,1981
"Untitled,_from_the_series_Calligraphy",1986
Quiet_Riverbank,1982
Divine_Light_2000–8,2000
Peonies_and_Mountain_Laurel,20th century
Drinking_in_the_Bamboo_Garden_on_the_Lantern_Festival,1773
The_Studio_of_Prolonged_Soughing,dated 1851
Mirror-images_of_a_Bird,20th century
Gathering_at_the_Orchid_Pavilion,dated 1607
The_Sound_of_Spring_in_a_Lonely_Valley,1661
Ink_bamboo,dated 1749
Stealing_the_Orchid_Pavilion_Manuscript,ca. 1970s
"""Such_is_the_Beauty_of_Our_Rivers_and_Mountains""",dated 1965
Hunan_Scenery_after_Mao’s_Poem,dated 1964
"""Never_Wanting_to_be_a_Busy_Man""",1930s
Landscapes_of_the_Four_Seasons,未知年代
"""A_Work_with_which_Baoshi_is_Satisfied""",1930s
Landscape_in_the_Style_of_Shitao,dated 1943
“Often_after_Being_Drunk”;__Poetic_Thoughts_of_Bitter_Melon_[Shitao]”,dated 1941
"""Not_as_Good_as_Being_One_in_Ten_Thousand""",dated 1959
Two_hawks_in_a_thicket,mid- 15th century
Returning_home_through_the_snow,ca. 1455
Portrait_of_the_artist’s_great-granduncle_Yizhai_at_the_age_of_eighty-five,dated 1561 or 1621
Seated_Musician,未知年代
Crooked_Pine,dated 1335
Peony,late 17th century
Peach_Blossom_Spring,dated 1638
Lofty_mountains,dated 1569
Bamboo_copied_after_Wen_Tong,dated 1343
Scholar_in_a_Plantain_Grove,1944
Two_Goddesses_of_the_Xiang_River,1944
Boating_in_Autumn,1973
"Bamboo,_plum,_and_rock",dated 1743
Landscape_with_Trees_in_the_Manner_of_Ni_Zan_(1301–1374),ca. 1622–25
Landscape,dated 1635
Eight_Views_of_Xiao_and_Xiang,1835
Excerpts_from_Wanjulu_in_Seal_Script,20th century
Attendant_with_Lotuses,20th century
Mynah_and_Lychee,20th century
Sketches_of_Heads,20th century
"Bird,_Grapes_and_Butterfly",20th century
"Bamboo,_Rocks_and_Small_Trees",undated
Landscape_and_Plant_Studies,20th century
"Flowering_Plants,_Cat_and_Three_Kittens",20th century
Zhonggui_(Slayer_of_Devils),20th century
Bamboo_in_Spring_Rain,ca. 1945
Pigeon_on_a_Blossoming_Branch,20th century
Chrysanthemums_and_Butterflies,20th century
Peonies;_Calligraphy_(verso),undated
Design_for_a_Hall_Lamp_No.6,ca. 1845
Peonies_and_Rock,20th century
River_Landscape,1940s
Design_for_Hall_Lamp_No.9,ca. 1845
In_the_Sky,2005
Xuanyi_zhushu_lueju,20th century
Ink_City,2005
Ink_History,2010
Flying_South,2006
Ink_Diary,2006
Ink_Things,2007
Natural_Rock_Bridge,dated 1556
Seven_Sages_of_the_Bamboo_Grove,1844
Forced_Conscription,20th century
Daoist_divine_official,dated 1482
Historical_and_Legendary_Figures,1873
Landscape,1822
Xie_Lingyun,dated 1980
Landscape,Undated
Landscape_with_fisherman,1926
Ruyi,2006
Round-backed_Armchair,2000
Study_for_Ink_Handscroll,1990
"Plants,_Flowers,_and_Birds",Datable to the 1930s?
Round-backed_Armchair,2000
The_Cassia_Grove_Studio,ca. 1532
"Lotus,_Rock,_and_Flower_Study,_after_Chen_Hongshou",Datable to the 1930s
"Butterfly,_Bamboo,_Flowers,_and_Rock,_after_Chen_Hongshou",Datable to the 1930s
"Figure_Studies,_Two_Figures_in_a_Boat",Datable to the 1930s?
"Gentleman_Seated_at_a_Stone_Table,_after_Chen_Hongshou",Datable to the 1930s
Landscape_Sketches_and_Tree,20th century
"Bird,_Blossoming_Plum,_and_Rock,_after_Chen_Hongshou",Datable to the 1930s
"Camellia_and_Rock,_after_Chen_Hongshou",Datable to the 1930s
"Blossoming_Plum,_after_Chen_Hongshou",Datable to the 1930s
Palace_Halls_and_Waves,Datable to the 1930s?
Mount_Tongjun_and_the_Tianmu_Stream,Datable to the 1930s
Studies_of_a_Bee,ca. 1930s
"West_Lake,_Hangzhou:_Little_Isle_of_the_Immortals",20th century
Recluse_playing_the_zither_in_a_pine_grove,ca. 1540
Bamboo,ca. 1930s
Drunken_fisherman_by_a_reed_bank,early 16th century
Wang_Xizhi_Watching_Geese,dated 1896
Record_of_the_Following_One's_Ancestor_Studio,dated 1345
"Remote_Valleys,_Sounds_of_Waterfalls,_Deep_Forests",dated 1678
Flowers_of_the_Four_Seasons,未知年代
"Rhythm_of_the_Street,_from_the_series_Life_in_the_Big_City",1985
"Dancing,_from_the_series_Highland_Barley",1960
Raging_Tide_I:_Struggle,1947
"Underground_Palace,_from_the_series_Ancient_Capital:_Beijing",1981
"Palace_Museum,_from_the_series_Ancient_Capital:_Beijing",1981
Morning_on_the_Huangpu_River,1962
Burning_up_Land_Deeds,1947
Fragrant_Snow_at_Broken_Bridge,14th century
Guanyin,20th century
Lu_Xun_and_Uchiyama_at_the_Woodblock-Printing_Class,1981
Fleeting_Years,1994
Field_Master,1935
Landscapes,未知年代
Landscapes,1672
Bamboo_in_wind_and_rain,ca. 1694
Discourse_on_Painting,dated 1667
Winter_landscapes_and_flowers,未知年代
Meditation_in_a_Cave,未知年代
Landscape_in_the_style_of_Huang_Gongwang,1666
Landscape_in_the_Style_of_Guo_Xi,dated 1748
"Table_screen,_converted_to_a_wall_panel",19th century
Couplet_on_an_Autumn_Sky,未知年代
Searching_for_Fungus,dated 1963
Wet_Zen:_lllusion,undated
River_Landscape,dated 1578
Paragons_of_Loyalty_and_Filial_Piety,1593
Enjoying_the_Wilderness_in_an_Autumn_Grove,dated 1339
"Autumn_Landscape,_leaf_from_Album_for_Zhou_Lianggong",ｄａｔｅｄ 1654
Herbaceous_Peony,未知年代
Returning_Fishermen,dated 1342
Eight_landscapes,1699
"Spring_River,_Level_Distance,_after_Jiang_Shen",1945
"Bamboo,_old_tree,_and_rock",dated 1338
"West_Lake,_Hangzhou:_Boats_and_the_Baoshu_Pagoda",20th century
Landscapes_in_the_styles_of_old_masters,1667
Poems_and_Notes_on_Painting,Datable to 1938–45
Riverscape,Datable to the 1930s
"West_Lake,_Hangzhou:_View_toward_the_Little_Isle_of_the_Immortals",20th century
Old_pine,mid-16th century
Sutra_Cover_with_Pattern_of_Lingzhi_Fungus_topped_by_the_Chinese_Character_Shou_(longevity);,16th century
Studies_of_Boats_and_Figures,Datable to the 1930s
Calligraphy,未知年代
Landscape,未知年代
Strolling_in_a_Misty_Valley,1649
Landscape,未知年代
Waterfall_on_a_Cold_Cliff,未知年代
Listening_to_a_Speech_in_Yan’an,1940
Landscapes_after_old_masters,1783
Joys_of_the_Fisherman,ca. 1410
Bringing_the_Message_of_Victory_to_Dongshan,1862
Beauty_about_to_bathe,18th century
Dew-Moistened_Pearls,dated 1922
Red_Cliffs_and_Green_Valleys,ca. 1367
"Hawk,_pine,_plum,_and_rock",dated 1873
“Plucking_Pollia_on_a_Fragrant_Isle”,dated 1930
